Component,Supplier,Review_Period,Lead_Time,Calculated_Lead_Time
T4098,2102,35,43,63.285714285714285
T5068,2102,35,43,63.285714285714285
T5072,2102,35,43,63.285714285714285
T70307,2102,35,43,63.285714285714285
T850,2102,35,43,63.285714285714285
T70014,4994,35,88,97.83435582822086
T7005,4994,35,88,97.83435582822086
T7006,4994,35,88,97.83435582822086
T7021,4994,35,88,97.83435582822086
T7031,4994,35,88,97.83435582822086
T70417,4994,35,88,97.83435582822086
T71048,4994,35,88,97.83435582822086
T71050,4994,35,88,97.83435582822086
T71061,4994,35,88,97.83435582822086
T71062,4994,35,88,97.83435582822086
T71064,4994,35,88,97.83435582822086
T71085,4994,35,88,97.83435582822086
T7130,4994,35,88,97.83435582822086
T7141,4994,35,88,97.83435582822086
T7189,4994,35,88,97.83435582822086
T7190,4994,35,88,97.83435582822086
T7192,4994,35,88,97.83435582822086
T7195,4994,35,88,97.83435582822086
T7610,4994,35,88,97.83435582822086
T71101,4994,35,88,97.83435582822086
T70579,4994,35,88,97.83435582822086
T71108,4994,35,88,97.83435582822086
T71140,4994,35,88,97.83435582822086
T71153,4994,35,88,97.83435582822086
T71070,4994,35,88,97.83435582822086
